dataset,algorithm,metric,mean,std,cv
amazon_videogames,ALS,Precision@1,0.0371810180121398,0.0004893228110257953,0.013160554422313795
amazon_videogames,ALS,Precision@10,0.019806316693331584,0.00021786591703727056,0.010999819926671268
amazon_videogames,ALS,Precision@5,0.025231219107350746,0.00024435855833179174,0.009684770176665837
amazon_videogames,ALS,nDCG@1,0.0371810180121398,0.0004893228110257953,0.013160554422313795
amazon_videogames,ALS,nDCG@10,0.06490495414866806,0.0008536554209898316,0.013152392327933717
amazon_videogames,ALS,nDCG@5,0.05129628421539638,0.0006297353235784101,0.012276431581946778
amazon_videogames,ItemKNN,Precision@1,0.0005080313185213398,0.00010665446891483796,0.20993679922187308
amazon_videogames,ItemKNN,Precision@10,0.0005402181630966392,2.7042762367039326e-05,0.05005896545948172
amazon_videogames,ItemKNN,Precision@5,0.0005408491326298124,3.3659351532329305e-05,0.06223427107789717
amazon_videogames,ItemKNN,nDCG@1,0.0005080313185213398,0.00010665446891483796,0.20993679922187308
amazon_videogames,ItemKNN,nDCG@10,0.0015574056685398324,0.00011956902562086485,0.07677448980455329
amazon_videogames,ItemKNN,nDCG@5,0.0010061511742826047,0.00011088802971991522,0.11021010813705946
amazon_videogames,Pop,Precision@1,0.00867125806853251,0.0001656431409959489,0.019102550020631746
amazon_videogames,Pop,Precision@10,0.0058120790171547875,7.273671910115695e-05,0.012514750554228368
amazon_videogames,Pop,Precision@5,0.0066624797974128205,0.00010219217328298306,0.015338459010812521
amazon_videogames,Pop,nDCG@1,0.00867125806853251,0.0001656431409959489,0.019102550020631746
amazon_videogames,Pop,nDCG@10,0.018118621234266278,0.00011662209376751275,0.0064365876552987845
amazon_videogames,Pop,nDCG@5,0.013262821562344346,0.00019081782918447005,0.014387423391583424
lastfm,ALS,Precision@1,0.11614678899082569,0.006375981781245527,0.05489589369318819
lastfm,ALS,Precision@10,0.0775229357798165,0.0020235545871663094,0.02610265680486719
lastfm,ALS,Precision@5,0.0933211009174312,0.003107370734681327,0.0332976219111546
lastfm,ALS,nDCG@1,0.11614678899082569,0.006375981781245527,0.05489589369318819
lastfm,ALS,nDCG@10,0.12025673371688168,0.0020211613354393916,0.016807053318093408
lastfm,ALS,nDCG@5,0.11378238235846508,0.003323919142079368,0.029212950838096757
lastfm,ItemKNN,Precision@1,0.0025688073394495416,0.0011961839275601192,0.46565731465733207
lastfm,ItemKNN,Precision@10,0.003908256880733945,0.000552747535096957,0.14143070733701482
lastfm,ItemKNN,Precision@5,0.004917431192660551,0.0008143978356393448,0.16561448523262795
lastfm,ItemKNN,nDCG@1,0.0025688073394495416,0.0011961839275601192,0.46565731465733207
lastfm,ItemKNN,nDCG@10,0.0045408320262294456,0.0008883689046719213,0.1956401160713256
lastfm,ItemKNN,nDCG@5,0.004340729770048739,0.000913286769103531,0.2103993608183714
lastfm,Pop,Precision@1,0.04146788990825688,0.007264525832964827,0.17518436190114295
lastfm,Pop,Precision@10,0.037357798165137616,0.0017616112326997123,0.04715511403837638
lastfm,Pop,Precision@5,0.04198165137614679,0.002999312549240739,0.07144341518077808
lastfm,Pop,nDCG@1,0.04146788990825688,0.007264525832964827,0.17518436190114295
lastfm,Pop,nDCG@10,0.05684714926779415,0.003217202212527414,0.05659390583284831
lastfm,Pop,nDCG@5,0.04992574767488776,0.0036871388568858817,0.07385245146244414
ml100k,ALS,Precision@1,0.21492537313432836,0.016748261737019595,0.07792594002641062
ml100k,ALS,Precision@10,0.15091684434968017,0.0037636433239806684,0.024938523861923332
ml100k,ALS,Precision@5,0.17121535181236675,0.001530138602815295,0.008936924093653466
ml100k,ALS,nDCG@1,0.21492537313432836,0.016748261737019595,0.07792594002641062
ml100k,ALS,nDCG@10,0.20779601934631878,0.005742747926117443,0.02763646745583906
ml100k,ALS,nDCG@5,0.19374990295609165,0.005874905693471541,0.030322109089277505
ml100k,ItemKNN,Precision@1,0.07633262260127932,0.0023357038699580667,0.030599025558947855
ml100k,ItemKNN,Precision@10,0.03522388059701492,0.0018335647302766466,0.05205459191887091
ml100k,ItemKNN,Precision@5,0.02942430703624734,0.0010553832555023099,0.0358677352775785
ml100k,ItemKNN,nDCG@1,0.07633262260127932,0.0023357038699580667,0.030599025558947855
ml100k,ItemKNN,nDCG@10,0.04333438545394747,0.0016679490862141991,0.03849019822807387
ml100k,ItemKNN,nDCG@5,0.03806424790176563,0.0012278814291727471,0.03225812926454252
ml100k,Pop,Precision@1,0.20575692963752665,0.0036930720843685993,0.017948713031801795
ml100k,Pop,Precision@10,0.11976545842217483,0.0032691163650070475,0.027295986740044603
ml100k,Pop,Precision@5,0.14656716417910448,0.0028906792887134127,0.019722557265152613
ml100k,Pop,nDCG@1,0.20575692963752665,0.0036930720843685993,0.017948713031801795
ml100k,Pop,nDCG@10,0.15628748366289838,0.00378625162422139,0.024226198640372766
ml100k,Pop,nDCG@5,0.1636565555324222,0.0026470740295975194,0.016174567654719484
