dataset,algorithm,seed,metric,value
ml100k,ALS,1,Precision@1,0.19509594882729211
ml100k,ALS,1,nDCG@1,0.19509594882729211
ml100k,ALS,1,Precision@5,0.17036247334754798
ml100k,ALS,1,nDCG@5,0.18964322556384822
ml100k,ALS,1,Precision@10,0.15426439232409384
ml100k,ALS,1,nDCG@10,0.20731806702095032
ml100k,ItemKNN,1,Precision@1,0.07569296375266525
ml100k,ItemKNN,1,nDCG@1,0.07569296375266525
ml100k,ItemKNN,1,Precision@5,0.028784648187633263
ml100k,ItemKNN,1,nDCG@5,0.03727239904519768
ml100k,ItemKNN,1,Precision@10,0.033582089552238806
ml100k,ItemKNN,1,nDCG@10,0.042008864886661654
ml100k,Pop,1,Precision@1,0.2046908315565032
ml100k,Pop,1,nDCG@1,0.2046908315565032
ml100k,Pop,1,Precision@5,0.144136460554371
ml100k,Pop,1,nDCG@5,0.16212480461011708
ml100k,Pop,1,Precision@10,0.12036247334754797
ml100k,Pop,1,nDCG@10,0.15771111312778732
ml100k,ALS,7,Precision@1,0.20362473347547974
ml100k,ALS,7,nDCG@1,0.20362473347547974
ml100k,ALS,7,Precision@5,0.1697228144989339
ml100k,ALS,7,nDCG@5,0.18778452206201013
ml100k,ALS,7,Precision@10,0.14925373134328357
ml100k,ALS,7,nDCG@10,0.20133445337843034
ml100k,ItemKNN,7,Precision@1,0.07995735607675906
ml100k,ItemKNN,7,nDCG@1,0.07995735607675906
ml100k,ItemKNN,7,Precision@5,0.030277185501066103
ml100k,ItemKNN,7,nDCG@5,0.039525996041513016
ml100k,ItemKNN,7,Precision@10,0.036780383795309166
ml100k,ItemKNN,7,nDCG@10,0.04506683454050414
ml100k,Pop,7,Precision@1,0.2046908315565032
ml100k,Pop,7,nDCG@1,0.2046908315565032
ml100k,Pop,7,Precision@5,0.14541577825159915
ml100k,Pop,7,nDCG@5,0.16092437512520064
ml100k,Pop,7,Precision@10,0.11844349680170578
ml100k,Pop,7,nDCG@10,0.15330124605299003
ml100k,ALS,21,Precision@1,0.21428571428571427
ml100k,ALS,21,nDCG@1,0.21428571428571427
ml100k,ALS,21,Precision@5,0.17036247334754798
ml100k,ALS,21,nDCG@5,0.1917991547174313
ml100k,ALS,21,Precision@10,0.1490405117270789
ml100k,ALS,21,nDCG@10,0.20383427491426367
ml100k,ItemKNN,21,Precision@1,0.07356076759061833
ml100k,ItemKNN,21,nDCG@1,0.07356076759061833
ml100k,ItemKNN,21,Precision@5,0.03070362473347548
ml100k,ItemKNN,21,nDCG@5,0.03908624638987868
ml100k,ItemKNN,21,Precision@10,0.037526652452025584
ml100k,ItemKNN,21,nDCG@10,0.04512449093436566
ml100k,Pop,21,Precision@1,0.21215351812366737
ml100k,Pop,21,nDCG@1,0.21215351812366737
ml100k,Pop,21,Precision@5,0.14434968017057573
ml100k,Pop,21,nDCG@5,0.16303921447947534
ml100k,Pop,21,Precision@10,0.114818763326226
ml100k,Pop,21,nDCG@10,0.15150735707688798
ml100k,ALS,42,Precision@1,0.23773987206823027
ml100k,ALS,42,nDCG@1,0.23773987206823027
ml100k,ALS,42,Precision@5,0.17334754797441365
ml100k,ALS,42,nDCG@5,0.20194398142965564
ml100k,ALS,42,Precision@10,0.14658848614072498
ml100k,ALS,42,nDCG@10,0.21052432097683846
ml100k,ItemKNN,42,Precision@1,0.07569296375266525
ml100k,ItemKNN,42,nDCG@1,0.07569296375266525
ml100k,ItemKNN,42,Precision@5,0.029211087420042643
ml100k,ItemKNN,42,nDCG@5,0.037847305787453635
ml100k,ItemKNN,42,Precision@10,0.033582089552238806
ml100k,ItemKNN,42,nDCG@10,0.04284900594932092
ml100k,Pop,42,Precision@1,0.2046908315565032
ml100k,Pop,42,nDCG@1,0.2046908315565032
ml100k,Pop,42,Precision@5,0.15095948827292113
ml100k,Pop,42,nDCG@5,0.16781800737263006
ml100k,Pop,42,Precision@10,0.12281449893390192
ml100k,Pop,42,nDCG@10,0.16076914058022165
ml100k,ALS,84,Precision@1,0.22388059701492538
ml100k,ALS,84,nDCG@1,0.22388059701492538
ml100k,ALS,84,Precision@5,0.1722814498933902
ml100k,ALS,84,nDCG@5,0.1975786310075129
ml100k,ALS,84,Precision@10,0.15543710021321963
ml100k,ALS,84,nDCG@10,0.21596898044111112
ml100k,ItemKNN,84,Precision@1,0.0767590618336887
ml100k,ItemKNN,84,nDCG@1,0.0767590618336887
ml100k,ItemKNN,84,Precision@5,0.028144989339019193
ml100k,ItemKNN,84,nDCG@5,0.03658929224478513
ml100k,ItemKNN,84,Precision@10,0.03464818763326226
ml100k,ItemKNN,84,nDCG@10,0.041622730958884975
ml100k,Pop,84,Precision@1,0.2025586353944563
ml100k,Pop,84,nDCG@1,0.2025586353944563
ml100k,Pop,84,Precision@5,0.14797441364605546
ml100k,Pop,84,nDCG@5,0.16437637607468789
ml100k,Pop,84,Precision@10,0.12238805970149254
ml100k,Pop,84,nDCG@10,0.15814856147660486
