dataset,algorithm,metric,min,max,std,range
amazon_videogames,ALS,Precision@1,0.03668233883436938,0.037928151081520284,0.0004893228110257953,0.0012458122471509028
amazon_videogames,ALS,Precision@10,0.019455050329746613,0.020032185286275504,0.00021786591703727056,0.0005771349565288908
amazon_videogames,ALS,Precision@5,0.02483985989713168,0.025506468917639635,0.00024435855833179174,0.000666609020507955
amazon_videogames,ALS,nDCG@1,0.03668233883436938,0.037928151081520284,0.0004893228110257953,0.0012458122471509028
amazon_videogames,ALS,nDCG@10,0.06354375229216819,0.0658628466149126,0.0008536554209898316,0.0023190943227444083
amazon_videogames,ALS,nDCG@5,0.050260786112146516,0.051892127813785764,0.0006297353235784101,0.0016313417016392481
amazon_videogames,ItemKNN,Precision@1,0.0003313348059324708,0.0005995487606696013,0.00010665446891483796,0.0002682139547371305
amazon_videogames,ItemKNN,Precision@10,0.0005001341053594813,0.00057270877049051,2.7042762367039326e-05,7.257466513102876e-05
amazon_videogames,ItemKNN,Precision@5,0.0004985799936888609,0.0005743046023256181,3.3659351532329305e-05,7.57246086367572e-05
amazon_videogames,ItemKNN,nDCG@1,0.0003313348059324708,0.0005995487606696013,0.00010665446891483796,0.0002682139547371305
amazon_videogames,ItemKNN,nDCG@10,0.0014143986987294771,0.0016661423122621996,0.00011956902562086485,0.0002517436135327225
amazon_videogames,ItemKNN,nDCG@5,0.000858830446691782,0.0011393810427680023,0.00011088802971991522,0.00028055059607622035
amazon_videogames,Pop,Precision@1,0.008551458639024314,0.008945757470575242,0.0001656431409959489,0.00039429883155092833
amazon_videogames,Pop,Precision@10,0.005692378082451131,0.00588012558572488,7.273671910115695e-05,0.00018774750327374932
amazon_videogames,Pop,Precision@5,0.006519406752918903,0.006784367554945489,0.00010219217328298306,0.0002649608020265865
amazon_videogames,Pop,nDCG@1,0.008551458639024314,0.008945757470575242,0.0001656431409959489,0.00039429883155092833
amazon_videogames,Pop,nDCG@10,0.018006290995685383,0.018305989251848776,0.00011662209376751275,0.0002996982561633936
amazon_videogames,Pop,nDCG@5,0.012936437445917477,0.013440493769551514,0.00019081782918447005,0.0005040563236340372
lastfm,ALS,Precision@1,0.10825688073394496,0.12385321100917432,0.006375981781245527,0.015596330275229359
lastfm,ALS,Precision@10,0.07486238532110091,0.08009174311926605,0.0020235545871663094,0.005229357798165135
lastfm,ALS,Precision@5,0.08935779816513761,0.09779816513761468,0.003107370734681327,0.008440366972477062
lastfm,ALS,nDCG@1,0.10825688073394496,0.12385321100917432,0.006375981781245527,0.015596330275229359
lastfm,ALS,nDCG@10,0.1176786613126691,0.12256462491860447,0.0020211613354393916,0.0048859636059353645
lastfm,ALS,nDCG@5,0.10841388338471983,0.11699224016622901,0.003323919142079368,0.008578356781509186
lastfm,ItemKNN,Precision@1,0.0009174311926605505,0.003669724770642202,0.0011961839275601192,0.0027522935779816515
lastfm,ItemKNN,Precision@10,0.0034862385321100917,0.004678899082568808,0.000552747535096957,0.0011926605504587163
lastfm,ItemKNN,Precision@5,0.003669724770642202,0.005871559633027523,0.0008143978356393448,0.002201834862385321
lastfm,ItemKNN,nDCG@1,0.0009174311926605505,0.003669724770642202,0.0011961839275601192,0.0027522935779816515
lastfm,ItemKNN,nDCG@10,0.0036587580600394914,0.005485444395553964,0.0008883689046719213,0.0018266863355144722
lastfm,ItemKNN,nDCG@5,0.003007708014460886,0.005549899265401968,0.000913286769103531,0.0025421912509410822
lastfm,Pop,Precision@1,0.03394495412844037,0.05137614678899083,0.007264525832964827,0.01743119266055046
lastfm,Pop,Precision@10,0.034495412844036705,0.03880733944954129,0.0017616112326997123,0.004311926605504585
lastfm,Pop,Precision@5,0.03724770642201835,0.04513761467889908,0.002999312549240739,0.007889908256880733
lastfm,Pop,nDCG@1,0.03394495412844037,0.05137614678899083,0.007264525832964827,0.01743119266055046
lastfm,Pop,nDCG@10,0.05176658858784002,0.06013828598596992,0.003217202212527414,0.008371697398129901
lastfm,Pop,nDCG@5,0.043709236424525934,0.05290388881415335,0.0036871388568858817,0.009194652389627418
ml100k,ALS,Precision@1,0.19509594882729211,0.23773987206823027,0.016748261737019595,0.04264392324093816
