dataset,metric,alg1,alg2,n_pairs,t_stat,p_value
amazon_videogames,Precision@1,ALS,ItemKNN,5,71.40997783466213,2.3043481621111995e-07
amazon_videogames,Precision@1,ALS,Pop,5,50.274615061385916,9.367238994510373e-07
amazon_videogames,Precision@1,ItemKNN,Pop,5,-61.63786626701075,4.1495325380809033e-07
amazon_videogames,Precision@5,ALS,ItemKNN,5,290.87808481891267,8.380559686428621e-10
amazon_videogames,Precision@5,ALS,Pop,5,120.77828036658155,2.8183662508712696e-08
amazon_videogames,Precision@5,ItemKNN,Pop,5,-67.4108374150564,2.90131906566591e-07
amazon_videogames,Precision@10,ALS,ItemKNN,5,379.56679225294147,2.890535555343169e-10
amazon_videogames,Precision@10,ALS,Pop,5,180.40026314183513,5.6638745293032016e-09
amazon_videogames,Precision@10,ItemKNN,Pop,5,-101.79768822805833,5.5836764634863506e-08
amazon_videogames,nDCG@1,ALS,ItemKNN,5,71.40997783466213,2.3043481621111995e-07
amazon_videogames,nDCG@1,ALS,Pop,5,50.274615061385916,9.367238994510373e-07
amazon_videogames,nDCG@1,ItemKNN,Pop,5,-61.63786626701075,4.1495325380809033e-07
amazon_videogames,nDCG@5,ALS,ItemKNN,5,158.001408137235,9.624794210535354e-09
amazon_videogames,nDCG@5,ALS,Pop,5,94.05496291975369,7.661206481976938e-08
amazon_videogames,nDCG@5,ItemKNN,Pop,5,-98.73266838180272,6.309730358101195e-08
amazon_videogames,nDCG@10,ALS,ItemKNN,5,210.374725107314,3.0627502776845254e-09
amazon_videogames,nDCG@10,ALS,Pop,5,112.60745234257,3.729532749315267e-08
amazon_videogames,nDCG@10,ItemKNN,Pop,5,-131.5962896105191,1.9999056299453964e-08
lastfm,Precision@1,ALS,ItemKNN,5,21.334369298188744,2.8542862971770004e-05
lastfm,Precision@1,ALS,Pop,5,13.254614141667775,0.00018723196221161306
lastfm,Precision@1,ItemKNN,Pop,5,-21.67438741389112,2.680561814266212e-05
lastfm,Precision@5,ALS,ItemKNN,5,50.207073210594885,9.417679721497789e-07
lastfm,Precision@5,ALS,Pop,5,26.01069273041609,1.298004476017625e-05
lastfm,Precision@5,ItemKNN,Pop,5,-44.44783184923158,1.5320919317264857e-06
lastfm,Precision@10,ALS,ItemKNN,5,74.72405376133126,1.9221673825316913e-07
lastfm,Precision@10,ALS,Pop,5,35.849698980333386,3.6137637149971995e-06
lastfm,Precision@10,ItemKNN,Pop,5,-98.65097445107975,6.330649785476781e-08
lastfm,nDCG@1,ALS,ItemKNN,5,21.334369298188744,2.8542862971770004e-05
lastfm,nDCG@1,ALS,Pop,5,13.254614141667775,0.00018723196221161306
lastfm,nDCG@1,ItemKNN,Pop,5,-21.67438741389112,2.680561814266212e-05
lastfm,nDCG@5,ALS,ItemKNN,5,36.6778535074833,3.299031418115734e-06
lastfm,nDCG@5,ALS,Pop,5,20.491637612564315,3.349506107963502e-05
lastfm,nDCG@5,ItemKNN,Pop,5,-46.76768986824563,1.250388587612579e-06
lastfm,nDCG@10,ALS,ItemKNN,5,44.41238091951654,1.5369813212800322e-06
lastfm,nDCG@10,ALS,Pop,5,20.266330626939833,3.499727223503668e-05
lastfm,nDCG@10,ItemKNN,Pop,5,-50.79611697678117,8.988928444642741e-07
ml100k,Precision@1,ALS,ItemKNN,5,15.50594278152362,0.0001009744644199051
ml100k,Precision@1,ALS,Pop,5,0.42163702135578474,0.694962652702186
ml100k,Precision@1,ItemKNN,Pop,5,-25.708652325885147,1.3597718654774118e-05
ml100k,Precision@5,ALS,ItemKNN,5,100.10692486496454,5.970434130877426e-08
ml100k,Precision@5,ALS,Pop,5,25.194134923634657,1.4736888785897184e-05
ml100k,Precision@5,ItemKNN,Pop,5,-69.13139466603938,2.6232785065165683e-07
ml100k,Precision@10,ALS,ItemKNN,5,115.86697928873053,3.327337692675136e-08
ml100k,Precision@10,ALS,Pop,5,18.674034295403278,4.841069149582808e-05
ml100k,Precision@10,ItemKNN,Pop,5,-85.56403876016132,1.118383583469924e-07
ml100k,nDCG@1,ALS,ItemKNN,5,15.50594278152362,0.0001009744644199051
ml100k,nDCG@1,ALS,Pop,5,0.42163702135578474,0.694962652702186
ml100k,nDCG@1,ItemKNN,Pop,5,-25.708652325885147,1.3597718654774118e-05
ml100k,nDCG@5,ALS,ItemKNN,5,47.98215315534981,1.1286928956703004e-06
ml100k,nDCG@5,ALS,Pop,5,16.949879372649985,7.103522587868205e-05
ml100k,nDCG@5,ItemKNN,Pop,5,-59.87283066490728,4.660417754145802e-07
ml100k,nDCG@10,ALS,ItemKNN,5,47.315123761859525,1.1936009426343994e-06
ml100k,nDCG@10,ALS,Pop,5,18.150059741285194,5.418771022347394e-05
ml100k,nDCG@10,ItemKNN,Pop,5,-114.85694276629425,3.4459010462338383e-08
