dataset,algorithm,seed,kind,n_recs,distinct_scores,score_std,train_test_overlap,candidate_leakage_probe,runtime_s,rerun_P@1,rerun_nDCG@1,indep_P@1,indep_nDCG@1,rerun_P@5,rerun_nDCG@5,indep_P@5,indep_nDCG@5,rerun_P@10,rerun_nDCG@10,indep_P@10,indep_nDCG@10,reported_P@1,reported_nDCG@1,reported_P@5,reported_nDCG@5,reported_P@10,reported_nDCG@10
ml100k,ALS,1,node,9380,9380,0.2515004844565721,0,0,5.9,0.21748400852878466,0.21748400852878466,0.21748400852878466,0.21748400852878466,0.17356076759061834,0.19531863635004781,0.17356076759061834,0.19531863635004781,0.1537313432835821,0.2106077313406074,0.1537313432835821,0.2106077313406074,0.1950959488272921,0.1950959488272921,0.1703624733475479,0.1896432255638482,0.1542643923240938,0.2073180670209503
ml100k,ItemKNN,1,node,9380,1,0.0,0,0,8.3,0.07569296375266525,0.07569296375266525,0.07569296375266525,0.07569296375266525,0.028784648187633263,0.03727239904519768,0.028784648187633263,0.03727239904519768,0.033582089552238806,0.042008864886661654,0.033582089552238806,0.042008864886661654,0.0756929637526652,0.0756929637526652,0.0287846481876332,0.0372723990451976,0.0335820895522388,0.0420088648866616
ml100k,Pop,1,node,9380,29,48.2715982813619,0,0,0.6,0.2046908315565032,0.2046908315565032,0.2046908315565032,0.2046908315565032,0.144136460554371,0.16212480461011708,0.144136460554371,0.16212480461011708,0.12036247334754797,0.15771111312778732,0.12036247334754797,0.15771111312778732,0.2046908315565032,0.2046908315565032,0.144136460554371,0.162124804610117,0.1203624733475479,0.1577111131277873
ml100k,ItemKNN_implicit,1,counterfactual,9380,9380,2.5435485208118545,0,0,2.8,0.3283582089552239,0.3283582089552239,0.3283582089552239,0.3283582089552239,0.22878464818763328,0.26480764840847554,0.22878464818763328,0.26480764840847554,0.17771855010660983,0.25580412939134595,0.17771855010660983,0.25580412939134595
ml100k,ALS,7,node,9380,9380,0.2554568045587994,0,0,0.9,0.19616204690831557,0.19616204690831557,0.19616204690831557,0.19616204690831557,0.16481876332622603,0.1825070097306832,0.16481876332622603,0.1825070097306832,0.14893390191897654,0.1994118979182571,0.14893390191897654,0.19941189791825709,0.2036247334754797,0.2036247334754797,0.1697228144989339,0.1877845220620101,0.1492537313432835,0.2013344533784303
ml100k,ItemKNN,7,node,9380,1,0.0,0,0,2.8,0.07995735607675906,0.07995735607675906,0.07995735607675906,0.07995735607675906,0.030277185501066103,0.039525996041513016,0.030277185501066103,0.039525996041513016,0.036780383795309166,0.04506683454050414,0.036780383795309166,0.04506683454050414,0.079957356076759,0.079957356076759,0.0302771855010661,0.039525996041513,0.0367803837953091,0.0450668345405041
ml100k,Pop,7,node,9380,37,47.71295132251152,0,0,0.6,0.2046908315565032,0.2046908315565032,0.2046908315565032,0.2046908315565032,0.14541577825159915,0.16092437512520064,0.14541577825159915,0.16092437512520064,0.11844349680170578,0.15330124605299003,0.11844349680170578,0.15330124605299,0.2046908315565032,0.2046908315565032,0.1454157782515991,0.1609243751252006,0.1184434968017057,0.15330124605299
ml100k,ItemKNN_implicit,7,counterfactual,9380,9380,2.5139944211133223,0,0,2.8,0.29637526652452023,0.29637526652452023,0.29637526652452023,0.29637526652452023,0.22174840085287847,0.2501119927353932,0.22174840085287847,0.2501119927353932,0.17825159914712155,0.2469141451567674,0.17825159914712155,0.2469141451567674
ml100k,ALS,21,node,9380,9380,0.2530375143595009,0,0,1.0,0.21748400852878466,0.21748400852878466,0.21748400852878466,0.21748400852878466,0.1626865671641791,0.18551731246708225,0.1626865671641791,0.18551731246708225,0.14509594882729213,0.2001097690701413,0.14509594882729213,0.20010976907014127,0.2142857142857142,0.2142857142857142,0.1703624733475479,0.1917991547174313,0.1490405117270789,0.2038342749142636
ml100k,ItemKNN,21,node,9380,1,0.0,0,0,3.1,0.07356076759061833,0.07356076759061833,0.07356076759061833,0.07356076759061833,0.03070362473347548,0.03908624638987868,0.03070362473347548,0.03908624638987868,0.037526652452025584,0.04512449093436566,0.037526652452025584,0.04512449093436566,0.0735607675906183,0.0735607675906183,0.0307036247334754,0.0390862463898786,0.0375266524520255,0.0451244909343656
