seed,P@1,nDCG@1,P@5,nDCG@5,P@10,nDCG@10,dataset,algorithm
1,0.1929637526652452,0.1929637526652452,0.17142857142857143,0.19034305881344982,0.14712153518123666,0.20185657409682115,ml100k,ALS
1,0.2867803837953092,0.2867803837953092,0.21940298507462688,0.25073225959334544,0.17579957356076759,0.24575705762926256,ml100k,ItemKNN
1,0.20362473347547974,0.20362473347547974,0.13880597014925372,0.15649370418439013,0.1187633262260128,0.15213781835504792,ml100k,Pop
7,0.22494669509594883,0.22494669509594883,0.17569296375266527,0.20158188539965058,0.15170575692963753,0.21348958954628036,ml100k,ALS
7,0.3230277185501066,0.3230277185501066,0.22985074626865673,0.26497673450447945,0.17846481876332623,0.254508105930815,ml100k,ItemKNN
7,0.21002132196162046,0.21002132196162046,0.14989339019189768,0.16628000682207109,0.1224946695095949,0.15851911997801815,ml100k,Pop
21,0.2068230277185501,0.2068230277185501,0.17377398720682302,0.19406938785997122,0.15021321961620468,0.2047673709079569,ml100k,ALS
21,0.3304904051172708,0.3304904051172708,0.2279317697228145,0.2646378257551712,0.18059701492537317,0.2563150433193432,ml100k,ItemKNN
21,0.21748400852878466,0.21748400852878466,0.14243070362473348,0.16307113002291054,0.123454157782516,0.16089280039514808,ml100k,Pop
42,0.20362473347547974,0.20362473347547974,0.16417910447761194,0.18502245135651402,0.1457356076759062,0.1997948978776377,ml100k,ALS
42,0.34968017057569295,0.34968017057569295,0.23624733475479748,0.2716248400882631,0.1863539445628998,0.26243249217752473,ml100k,ItemKNN
42,0.19829424307036247,0.19829424307036247,0.14712153518123666,0.16166733865166882,0.11780383795309168,0.1534500994271805,ml100k,Pop
84,0.20362473347547974,0.20362473347547974,0.17484008528784648,0.195880715572829,0.15405117270788912,0.21102058602365764,ml100k,ALS
84,0.31023454157782515,0.31023454157782515,0.22985074626865673,0.2634169617091102,0.18710021321961623,0.259420431734343,ml100k,ItemKNN
84,0.21748400852878466,0.21748400852878466,0.1424307036247335,0.16298449864808218,0.11833688699360342,0.15635351924381857,ml100k,Pop
1,0.05398510471958194,0.05398510471958194,0.03484343496687652,0.06829638795325162,0.027157141093692137,0.08495239854856314,amazon_videogames,ALS
