dataset,algorithm,metric,mean,std,cv,min,max,range
amazon_vg,ALS,precision@1,0.03749901393118028,0.0009288010380493057,0.024768678977902706,0.03597179054320559,0.03849612672167616,0.0025243361784705737
amazon_vg,ALS,ndcg@1,0.03749901393118028,0.0009288010380493057,0.024768678977902706,0.03597179054320559,0.03849612672167616,0.0025243361784705737
amazon_vg,ALS,precision@5,0.025018064780777182,0.0006070580764165684,0.024264789532522358,0.024110565924617012,0.025666188094599494,0.0015556221699824825
amazon_vg,ALS,ndcg@5,0.05084640760165541,0.0012584138083923007,0.024749315984150873,0.04976494056589476,0.052778970031662625,0.003014029465767863
amazon_vg,ALS,precision@10,0.019619771863117873,0.0005222048872542742,0.026616256850363198,0.018829970181278896,0.020033762996387046,0.0012037928151081498
amazon_vg,ALS,ndcg@10,0.06412688853931452,0.0017292576853320098,0.026966187269039994,0.06268640278192916,0.06690943121089377,0.004223028428964604
amazon_vg,ItemKNN,precision@1,0.0,0.0,,0.0,0.0,0.0
amazon_vg,ItemKNN,ndcg@1,0.0,0.0,,0.0,0.0,0.0
amazon_vg,ItemKNN,precision@5,0.0,0.0,,0.0,0.0,0.0
amazon_vg,ItemKNN,ndcg@5,0.0,0.0,,0.0,0.0,0.0
amazon_vg,ItemKNN,precision@10,0.0,0.0,,0.0,0.0,0.0
amazon_vg,ItemKNN,ndcg@10,0.0,0.0,,0.0,0.0,0.0
amazon_vg,Pop,precision@1,0.008664783932600223,0.0006588144144738078,0.07603356524507167,0.007573008535411704,0.009213827051417572,0.0016408185160058687
amazon_vg,Pop,ndcg@1,0.008664783932600223,0.0006588144144738078,0.07603356524507167,0.007573008535411704,0.009213827051417572,0.0016408185160058687
amazon_vg,Pop,precision@5,0.00668002461227774,0.00021528662390124417,0.03222841776743637,0.006301374185507155,0.006809396841424357,0.000508022655917202
amazon_vg,Pop,ndcg@5,0.013392786927230107,0.0005040026664757305,0.037632396394733675,0.012525674407101233,0.013693540074341346,0.0011678656672401127
amazon_vg,Pop,precision@10,0.005863401858542511,7.499186599010238e-05,0.012789821983776395,0.005733398545351279,0.005922723758736569,0.00018932521338529008
amazon_vg,Pop,ndcg@10,0.018306772618075794,0.0004445884657990182,0.024285463914051085,0.01761202105751607,0.01873981268878649,0.0011277916312704209
lastfm,ALS,precision@1,0.12752293577981652,0.005388688130491161,0.042256619152772415,0.12110091743119267,0.13486238532110092,0.013761467889908258
lastfm,ALS,ndcg@1,0.12752293577981652,0.005388688130491161,0.042256619152772415,0.12110091743119267,0.13486238532110092,0.013761467889908258
lastfm,ALS,precision@5,0.0949724770642202,0.004755799068406806,0.05007555046912111,0.08862385321100917,0.09963302752293579,0.01100917431192662
lastfm,ALS,ndcg@5,0.11545966635805285,0.0046594505143667695,0.04035565545389082,0.11115289775088037,0.12278260491954253,0.011629707168662157
lastfm,ALS,precision@10,0.07823853211009174,0.0028428526685963687,0.03633571070321344,0.07458715596330276,0.0810091743119266,0.00642201834862384
lastfm,ALS,ndcg@10,0.12108381620325488,0.005298191772457304,0.04375639898534088,0.11660249690927273,0.13023202178006654,0.013629524870793816
lastfm,ItemKNN,precision@1,0.0,0.0,,0.0,0.0,0.0
lastfm,ItemKNN,ndcg@1,0.0,0.0,,0.0,0.0,0.0
lastfm,ItemKNN,precision@5,0.0,0.0,,0.0,0.0,0.0
lastfm,ItemKNN,ndcg@5,0.0,0.0,,0.0,0.0,0.0
lastfm,ItemKNN,precision@10,0.0,0.0,,0.0,0.0,0.0
lastfm,ItemKNN,ndcg@10,0.0,0.0,,0.0,0.0,0.0
lastfm,Pop,precision@1,0.0363302752293578,0.005050039979641426,0.1390036257022514,0.030275229357798167,0.044036697247706424,0.013761467889908258
lastfm,Pop,ndcg@1,0.0363302752293578,0.005050039979641426,0.1390036257022514,0.030275229357798167,0.044036697247706424,0.013761467889908258
lastfm,Pop,precision@5,0.04003669724770642,0.005744613927497242,0.14348371175462865,0.03522935779816514,0.0489908256880734,0.013761467889908258
lastfm,Pop,ndcg@5,0.04643985973496044,0.009567599730752264,0.20602128829320449,0.036221491597882974,0.06032609037421962,0.024104598776336646
lastfm,Pop,precision@10,0.037669724770642204,0.004512511947585058,0.11979147644587707,0.03412844036697248,0.04522935779816514,0.01110091743119266
lastfm,Pop,ndcg@10,0.055024653809096526,0.011908827163767762,0.21642711656277658,0.044222661948329474,0.0740203520197982,0.02979769007146873
ml100k,ALS,precision@1,0.2136460554371002,0.006933736691475098,0.032454316450117975,0.2025586353944563,0.22174840085287847,0.019189765458422187
ml100k,ALS,ndcg@1,0.2136460554371002,0.006933736691475098,0.032454316450117975,0.2025586353944563,0.22174840085287847,0.019189765458422187
ml100k,ALS,precision@5,0.1718123667377399,0.004476088683938624,0.026052191521062477,0.16780383795309173,0.17675906183368872,0.008955223880596996
ml100k,ALS,ndcg@5,0.19462013372409395,0.006990462016098584,0.03591849354090319,0.18685270397689274,0.2041730198605502,0.017320315883657456
ml100k,ALS,precision@10,0.15051172707889127,0.00346227559610192,0.023003361022408277,0.14680170575692966,0.15447761194029852,0.007675906183368858
ml100k,ALS,ndcg@10,0.2073222845699314,0.006496436030783607,0.031334962588608316,0.20199271377139558,0.2175839714283253,0.01559125765692973
ml100k,ItemKNN,precision@1,0.0,0.0,,0.0,0.0,0.0
ml100k,ItemKNN,ndcg@1,0.0,0.0,,0.0,0.0,0.0
ml100k,ItemKNN,precision@5,0.0,0.0,,0.0,0.0,0.0
ml100k,ItemKNN,ndcg@5,0.0,0.0,,0.0,0.0,0.0
ml100k,ItemKNN,precision@10,0.0,0.0,,0.0,0.0,0.0
ml100k,ItemKNN,ndcg@10,0.0,0.0,,0.0,0.0,0.0
ml100k,Pop,precision@1,0.2044776119402985,0.01048359895005502,0.05127015544917418,0.1865671641791045,0.21321961620469082,0.026652452025586332
ml100k,Pop,ndcg@1,0.2044776119402985,0.01048359895005502,0.05127015544917418,0.1865671641791045,0.21321961620469082,0.026652452025586332
ml100k,Pop,precision@5,0.14712153518123666,0.002554189456441563,0.0173610848561028,0.1439232409381663,0.14925373134328357,0.005330490405117266
ml100k,Pop,ndcg@5,0.16321079576202846,0.0013604554868351028,0.008335572904250353,0.16139071863579077,0.16501821682832657,0.0036274981925357996
ml100k,Pop,precision@10,0.11901918976545842,0.0026775833818252657,0.02249707284263794,0.11663113006396589,0.12302771855010662,0.0063965884861407335
ml100k,Pop,ndcg@10,0.15404516715307867,0.0036033499403144917,0.023391515663284325,0.1500784132821297,0.15933246531824516,0.009254052036115457
