,,Precision@1,Precision@1,Precision@5,Precision@5,Precision@10,Precision@10,nDCG@1,nDCG@1,nDCG@5,nDCG@5,nDCG@10,nDCG@10
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,algorithm,,,,,,,,,,,,
amazon_videogames,ALS,0.0273259391319439,0.0008260785284113028,0.018225707208557502,0.00014113232056102404,0.014282378555764164,8.566689874606663e-05,0.0273259391319439,0.0008260785284113028,0.04799119504526337,0.0006437993055453349,0.060668008461312574,0.0005958785621074891
amazon_videogames,ItemKNN,0.00022087941561617467,2.4945787199788416e-05,0.00014956691857438118,1.3124424115668522e-05,0.00014199391003896945,1.6808352202217094e-05,0.00022087941561617467,2.4945787199788416e-05,0.000402764743399338,3.6677060449287165e-05,0.0005838371179937762,5.8230630483762546e-05
amazon_videogames,Pop,0.005919568338513481,0.0002129616462003625,0.004613224366154962,0.00014737873118226365,0.003963838884243409,8.63902540832716e-05,0.005919568338513481,0.0002129616462003625,0.011919978100833941,0.0002825440631963754,0.016120187019473813,0.00029753888895330476
lastfm,ALS,0.10733944954128441,0.01116103216568481,0.08425688073394495,0.0035184413226547603,0.06968807339449543,0.0017938067382686593,0.10733944954128441,0.01116103216568481,0.10988613320371474,0.006625833390745526,0.1164393444255311,0.005563507528378596
lastfm,ItemKNN,0.0012844036697247708,0.0008205754045870788,0.004550458715596331,0.0007934586535941151,0.003541284403669725,0.0006309632610660331,0.0012844036697247708,0.0008205754045870788,0.003949763265979715,0.0006531867290787935,0.004090803189272722,0.0006554151815578767
lastfm,Pop,0.0381651376146789,0.0035885517826803573,0.037577981651376144,0.0014758956001607486,0.033339449541284406,0.0008620924741896188,0.0381651376146789,0.0035885517826803573,0.0464974587337191,0.0019229489447145844,0.053031267763963955,0.00234619377667954
ml100k,ALS,0.1976545842217484,0.011221916730866316,0.1592324093816631,0.0024515620216298242,0.1397441364605544,0.0017328603644587584,0.1976545842217484,0.011221916730866316,0.1860768752969136,0.005602933691408616,0.20172448809284993,0.006155073248431503
ml100k,ItemKNN,0.07313432835820896,0.009033569366445567,0.027931769722814498,0.0008661021753343242,0.03398720682302772,0.0014913946280693832,0.07313432835820896,0.009033569366445567,0.037280120542883724,0.0027257250479298446,0.043392757891051834,0.0025550430739528715
ml100k,Pop,0.1955223880597015,0.009373178951101607,0.13377398720682301,0.0035087424188868584,0.10995735607675908,0.0023400792166650237,0.1955223880597015,0.009373178951101607,0.15237129105782724,0.00493126447375524,0.1480919060549968,0.0031043811088159504
