dataset,alg_a,alg_b,mean_diff,t_stat,p_value,metric
ml100k,ALS,ItemKNN,0.11569296375266525,55.82109554778313,6.166364973311977e-07,Precision@10
ml100k,ALS,Pop,0.031151385927505344,16.071936217552807,8.765002622225835e-05,Precision@10
ml100k,ItemKNN,Pop,-0.08454157782515992,-38.17532888928827,2.8121341302640537e-06,Precision@10
amazon_videogames,ALS,ItemKNN,0.01926609853023495,197.90358992829786,3.910773294136165e-09,Precision@10
amazon_videogames,ALS,Pop,0.013994237676176798,154.43323531366863,1.054549045194351e-08,Precision@10
amazon_videogames,ItemKNN,Pop,-0.005271860854058149,-225.6563960446809,2.3136827183936e-09,Precision@10
lastfm,ALS,ItemKNN,0.07361467889908258,106.59887833029869,4.643933161882725e-08,Precision@10
lastfm,ALS,Pop,0.040165137614678895,49.5583829059028,9.919843285908094e-07,Precision@10
lastfm,ItemKNN,Pop,-0.033449541284403674,-46.890254822869395,1.2373860082869412e-06,Precision@10
ml100k,ALS,ItemKNN,0.1644616338923713,50.87798859282996,8.931282993792247e-07,nDCG@10
ml100k,ALS,Pop,0.05150853568342042,29.919076253941306,7.432433138712198e-06,nDCG@10
ml100k,ItemKNN,Pop,-0.1129530982089509,-48.07001278064991,1.120475479477534e-06,nDCG@10
amazon_videogames,ALS,ItemKNN,0.06334754848012823,167.7103612775938,7.582435803015133e-09,nDCG@10
amazon_videogames,ALS,Pop,0.04678633291440178,129.01657130626322,2.1646881767105377e-08,nDCG@10
amazon_videogames,ItemKNN,Pop,-0.016561215565726446,-533.2334508303819,7.42115538059975e-11,nDCG@10
lastfm,ALS,ItemKNN,0.11571590169065224,204.30014017140397,3.443556616205563e-09,nDCG@10
lastfm,ALS,Pop,0.06340958444908754,40.531899237592334,2.2141299554190476e-06,nDCG@10
lastfm,ItemKNN,Pop,-0.052306317241564704,-40.006565461445156,2.332487743757657e-06,nDCG@10
